OBJECTID,STATE,LEVEL_,DEFINITION,SOURCE,SOURCEDATE
77,LA,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://lern.la.gov/trauma/state-designated-trauma-centers/,2016-05-25T00:00:00.000Z
78,LA,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://lern.la.gov/trauma/state-designated-trauma-centers/,2016-05-25T00:00:00.000Z
79,LA,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://lern.la.gov/trauma/state-designated-trauma-centers/,2016-05-25T00:00:00.000Z
80,MA,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
81,MA,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
82,MA,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
83,MA,I PEDIATRIC,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Pediatric Trauma Center is responsible for providing leadership in research, professional and community education.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
84,MA,II PEDIATRIC,"A Level II Trauma Center provides comprehensive pediatric trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/oems/trauma-data/public-health-oems-trauma-center-verification.html,2016-05-25T00:00:00.000Z
85,MD,PARC,"Primary Adult Resource Center; Fellowship Training in Trauma and 24 hour dedicated facilities and specialty surgeons.",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
86,MD,I,"A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
87,MD,II,"A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
88,MD,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available.",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
89,MD,PEDIATRIC,"A Pediatric Trauma Center has the capability of providing leadership and comprehensive, definitive pediatric trauma care for the most severely injured children within its geographic area.",http://www.miemss.org/home/hospitals/trauma-centers,2016-05-25T00:00:00.000Z
90,ME,REGIONAL TRAUMA CENTER,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://gateway.maine.gov/dhhs-apps/aspen/facility_list.asp,2016-06-24T00:00:00.000Z
91,ME,TRAUMA SYSTEM HOSPITAL,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",https://gateway.maine.gov/dhhs-apps/aspen/facility_list.asp,2016-06-24T00:00:00.000Z
92,MI,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2016-05-26T00:00:00.000Z
93,MI,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2016-05-26T00:00:00.000Z
94,MI,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2016-05-26T00:00:00.000Z
95,MI,IV,Level IV Trauma Centers are small rural facilities that provide initial evaluation and assessment of injured patients prior to transfer to a larger referral facility.,http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2016-05-26T00:00:00.000Z
96,MI,I PEDIATRIC,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Pediatric Trauma Center is responsible for providing leadership in research, professional and community education.",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2016-05-26T00:00:00.000Z
97,MI,II PEDIATRIC,"A Level II Trauma Center provides comprehensive pediatric trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://www.michigan.gov/documents/mdch/Michigan_Criteria_FINAL.8.6.14_465535_7.pdf,2016-05-26T00:00:00.000Z
98,MN,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education",https://www.revisor.mn.gov/statutes/?id=144.605,2016-05-26T00:00:00.000Z
99,MN,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",https://www.revisor.mn.gov/statutes/?id=144.605,2016-05-26T00:00:00.000Z
100,MN,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://www.health.state.mn.us/traumasystem/hospresources/index.html,2016-05-26T00:00:00.000Z
101,MN,IV,Level IV Trauma Centers are small rural facilities that provide initial evaluation and assessment of injured patients prior to transfer to a larger referral facility.,http://www.health.state.mn.us/traumasystem/hospresources/index.html,2016-05-26T00:00:00.000Z
102,MN,I PEDIATRIC,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I  Pediatric Trauma Center is responsible for providing leadership in research, professional and community education",https://www.revisor.mn.gov/statutes/?id=144.605,2016-05-26T00:00:00.000Z
103,MN,II PEDIATRIC,"A Level II Trauma Center provides comprehensive pediatric trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",https://www.revisor.mn.gov/statutes/?id=144.605,2016-05-26T00:00:00.000Z
104,MO,I,"Level I Centers function as resource center within a region, for example maintaining specialized resources for the most complex patients.  ",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2016-05-26T00:00:00.000Z
105,MO,PEDIATRIC I,"Level I Centers function as resource center within a region, for example maintaining specialized resources for the most complex pediatric patients.  ",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2016-05-26T00:00:00.000Z
106,MO,II,"Level II Centers generally provide definitive care to high volumes of trauma, stroke and STEMI patients within a region.",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2016-05-26T00:00:00.000Z
107,MO,III,"Level III Centers play an important role in providing access into the system and important patient care in non-metropolitan areas, and generally refer to a higher level center for definitive care. ",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2016-05-26T00:00:00.000Z
108,MO,IV,"Level IV Centers, a key entry point into the system, provide access into the system in rural areas and stabilize and prepare patients for rapid transfer to a higher level of care.",http://health.mo.gov/living/healthcondiseases/chronic/tcdsystem/designatedhospitals.php,2016-05-26T00:00:00.000Z
109,MS,I,"Level I trauma centers act as regional tertiary care facilities at the hub of the trauma care system. These facilities must have the ability to provide leadership and total care for every aspect of injury from prevention to rehabilitation. As a tertiary facility, the Level I trauma center must have adequate depth of resources and personnel. These centers also have the responsibility of providing leadership in education, trauma prevention, research and system planning.",http://msdh.ms.gov/msdhsite/_static/49.html,2016-05-27T00:00:00.000Z
110,MS,II,"A Level II trauma center is an acute care facility with the commitment, resources and specialty training necessary to provide sophisticated trauma care.",http://msdh.ms.gov/msdhsite/_static/49.html,2016-05-27T00:00:00.000Z
111,MS,III,"A Level III trauma center is an acute care facility with the commitment, medical staff, personnel and specialty training necessary to provide initial resuscitation of the trauma patient. Generally, a Level III trauma center is expected to provide initial resuscitation of the trauma patient and immediate operative intervention to control hemorrhage and to assure maximal stabilization prior to referral to a higher level of care. In many instances, patients will remain in the Level III trauma center unless the medical needs of the patient require secondary transfer. ",http://msdh.ms.gov/msdhsite/_static/49.html,2016-05-27T00:00:00.000Z
112,MS,IV,"Level IV trauma centers are generally licensed, small, rural facilities with a commitment to the resuscitation of the trauma patient and written transfer protocols in place to assure those patients who require a higher level of care are appropriately transferred. These facilities may be staffed by a physician, or a licensed midlevel practitioner (i.e. advanced practice nurse) or Registered Nurse.",http://msdh.ms.gov/msdhsite/_static/49.html,2016-05-27T00:00:00.000Z
113,MS,NON-DESIGNATED,Not designated,http://msdh.ms.gov/msdhsite/_static/49.html,2016-05-27T00:00:00.000Z
114,MT,RTC,"Regional Trauma Center. Requirements include resident trauma surgeons available 24 hrs, as well as critical care medicine, pediatrics and neurologic surgery. Rehabilitation services available and commitment to continuing education for all health personnel.",https://dphhs.mt.gov/publichealth/EMSTS/traumasystems/designation.aspx,2016-06-01T00:00:00.000Z
115,MT,ATH,"Area Trauma Hospital. Requirements include resident trauma surgeons available 24 hrs, as well as orthopaedic surgery and physical therapy.",https://dphhs.mt.gov/publichealth/EMSTS/traumasystems/designation.aspx,2016-06-01T00:00:00.000Z
116,MT,CTH,Community Trauma Facility.  Can provide initial stabilization and full care for some patients as well as transfer.,https://dphhs.mt.gov/publichealth/EMSTS/traumasystems/designation.aspx,2016-06-01T00:00:00.000Z
117,MT,TRH,Trauma Receiving Facility. Possess equipment for resusciation and program in place for transfer of patients.,https://dphhs.mt.gov/publichealth/EMSTS/traumasystems/designation.aspx,2016-06-01T00:00:00.000Z
118,NC,I,"Center that has the capability of providing leadership, research, and total care for every aspect of injury from prevention to rehabilitation.",https://www2.ncdhhs.gov/dhsr/EMS/trauma/guidelines.html,2016-06-01T00:00:00.000Z
119,NC,II,Center that provides trauma care regardless of the severity of the injury but may not be able to provide the same comprehensive care as a Level I trauma center and does not have trauma research as a primary objective.,https://www2.ncdhhs.gov/dhsr/EMS/trauma/guidelines.html,2016-06-01T00:00:00.000Z
120,NC,III,"Center that provides prompt assessment, resuscitation, emergency operations, and stabilization, and arranges for hospital transfer as needed to a Level I or II trauma center.",https://www2.ncdhhs.gov/dhsr/EMS/trauma/guidelines.html,2016-06-01T00:00:00.000Z
121,ND,I,"A Level I Trauma Center provides the highest level of surgical care to trauma patients with requirements for various surgical specialists to be available 24 hours a day. There are requirements for minimum annual volumes of severely injured patients. Additionally, a Level I center has research requirements related to trauma and is a leader in trauma education, injury prevention, and is a referral resource for communities in nearby regions.  Verified by ACS.",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2016-06-01T00:00:00.000Z
122,ND,II,"The Level II facilities in our state function at nearly the same level as a Level I facility. They attempt to assure 24 hours a day coverage of the various surgical specialists. They perform rigorous performance improvement, community education and injury prevention services. Level II Trauma Medical Directors and Coordinators within North Dakota help in the designation process for the Level IV and V facilities in the state, and providing follow-up on patient care outcomes.  Verified by ACS",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2016-06-01T00:00:00.000Z
123,ND,III,"Level III facilities do not have the full availability of physician specialists available at a Level I or II facility, but do have resources for emergency resuscitation, surgery and intensive care of most trauma patients. The same care, equipment, data entry and performance improvement requirements remain as in Level IV and V. Verified by ACS.",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2016-06-01T00:00:00.000Z
124,ND,IV,"Level IV facilities are held to the same standards as Level V, and additionally are required to have a physician rather than a physician’s assistant or nurse practitioner available 24 hours a day to care for the injured patient.",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2016-06-01T00:00:00.000Z
125,ND,V,"A Level V facility must provide evaluation, stabilization and appropriate diagnostics for each trauma patient presenting to their emergency room. When appropriate, these patients must be transferred to a higher level of care. The facility must meet specific equipment requirements. Data from each of their trauma patients must be entered into the trauma registry for statistical analysis. The patient records are audited and reviewed to assure that quality patient care is given to every trauma patient. An ATLS certified physician, physician’s assistant or nurse practitioner must be available 24 hours a day to care for injured patients.",https://www.health.nd.gov/media/1108/trauma-level-designation-brochure-15.pdf,2016-06-01T00:00:00.000Z
126,NE,I,"Comprehensive trauma center. Verified by ACS as Level I. Has the ability to provide highest level of definitive, comprehensive care for patients with complex traumatic injury.  All severely or multi-system injured patients must be admitted to or seen by a designated trauma service with identifiable trauma specialists directing the service and other affiliated health care personnel assigned to that service.",http://dhhs.ne.gov/publichealth/NebraskaEMS/Documents/Title-185.pdf,2016-06-01T00:00:00.000Z
127,NE,II,Advanced trauma center. Verified by ACS as Level II. Has the ability to provide definitive care for patients with complex and severe trauma.  All severely or multi-system injured patients must be admitted to or seen by a designated trauma service with identifiable truma specialists directing the service and other affiliated health care personnel assigned to that service.,http://dhhs.ne.gov/publichealth/NebraskaEMS/Documents/Title-185.pdf,2016-06-01T00:00:00.000Z
128,NE,III,"General trauma center. Verified by ACS as Level III.  Has the ability to provide initial evaluation and stabilization, inpatient services to stable patients, and transfer patients as required.  All severly or multi-system injured patients may be admitted to individual surgeons, but the structure of the program must allow the trauma director to have oversight authority for the care of those injured patients.",http://dhhs.ne.gov/publichealth/NebraskaEMS/Documents/Title-185.pdf,2016-06-01T00:00:00.000Z
129,NE,IV,"Basic trauma center. Verified by ACS as Level IV.  Has the abililty to provide initial resuscitation, stabilization, and transfer of patients as required.",http://dhhs.ne.gov/publichealth/NebraskaEMS/Documents/Title-185.pdf,2016-06-01T00:00:00.000Z
130,NE,II PEDIATRIC,Advanced trauma center. Verified by ACS as Level II. Has the ability to provide definitive care for pediatric patients with complex and severe trauma.  All severely or multi-system injured patients must be admitted to or seen by a designated trauma service with identifiable truma specialists directing the service and other affiliated health care personnel assigned to that service.,http://dhhs.ne.gov/publichealth/NebraskaEMS/Documents/Title-185.pdf,2016-06-01T00:00:00.000Z
131,NH,I,"Provides the highest level of care for patients with complex traumatic injuries that present directly to the hospital's emergency department or by interfacility transfer. The hospital is a regional resource that treats a significant number of seriously injured patients and is responsible for outreach, accredited education and is committed to research in trauma management.",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2016-06-02T00:00:00.000Z
132,NH,II,"Has the resources to provide a high level of care for patients with complex injuries. The hospital has essentially all the surgical specialty providers as a Level I, on-call and promptly available 24/7. A Level II provides definitive care on a regional basis for complex trauma patients, but transfers the most specialized of trauma patients to a Level I or specialty facility (i.e. burn center).",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2016-06-02T00:00:00.000Z
133,NH,III,"Provides trauma care for a local catchment area. Depending on the hospital’s resources (such as neurosurgery) some Level III trauma hospitals are able to care for complex trauma patients, but the expectation of most Level III facilities for major trauma patients is stabilization and prompt transfer to a Level I trauma hospital.",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2016-06-02T00:00:00.000Z
134,NH,IV,"A hospital that provides 24-hour emergency services. This level of trauma hospital is expected to resuscitate, stabilize, and transfer major trauma patients to a higher level facility. This facility will admit only those patients who are determined to have injuries that do not meet criteria for transfer.",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2016-06-02T00:00:00.000Z
135,NH,I PEDIATRIC,"Provides the most comprehensive level of care and has a pediatric intensive care unit. The facility will be capable of providing comprehensive specialized pediatric medical and surgical care to all acutely ill and injured children. The Level I Pediatric Trauma Hospital will be responsible for serving as a regional referral center for the specialized care of pediatric patients, or in special circumstances will provide safe and timely transfer of children to other facilities for specialized care. ",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2016-06-02T00:00:00.000Z
136,NH,II PEDIATRIC,"Has a defined separate pediatric inpatient service and a department/division of pediatrics within the medical staff structure. A Level II facility will be capable of identifying those pediatric patients who are critically ill or injured, stabilizing pediatric patients (including the management of airway, breathing, circulation and disability), and will also provide ongoing inpatient care or appropriate transfer to a Level I pediatric critical care center ",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2016-06-02T00:00:00.000Z
137,NH,III PEDIATRIC,"Capable of identifying those pediatric patients who are critically ill or injured, stabilizing pediatric patients (including the management of airway, breathing and circulation), and will have clearly defined capabilities for the management of minor to moderate pediatric inpatient problems. ",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2016-06-02T00:00:00.000Z
138,NH,IV PEDIATRIC,"Capable of identifying those pediatric patients who are critically ill or injured, stabilizing pediatric patients (including the management of airway, breathing and circulation), and providing appropriate transfer to a definitive care facility. A Level IV hospital will have limited pediatric inpatient admission capability for pediatric trauma.",https://www.nh.gov/safety/divisions/fstems/ems/documents/traumasystemplan.pdf,2016-06-02T00:00:00.000Z
139,NJ,I,"Regional resource facility and has the capability to provide total care for all aspects of trauma, from prevention through rehabilitation. Level I trauma centers in New Jersey must treat a minimum of 600 patients per year. ",http://www.nj.gov/health/ems/trama_centers.shtml,2016-06-02T00:00:00.000Z
140,NJ,II,"Provide definitive trauma care, regardless of the severity of injury. Level II trauma centers have most of the clinical capabilities of a Level I. Level II trauma centers are required to participate in trauma research conducted by the Level Is and to sponsor public and provider educational programs in cooperation with the Level I centers. Level II trauma centers must treat a minimum of 350 patients per year.",http://www.nj.gov/health/ems/trama_centers.shtml,2016-06-02T00:00:00.000Z
141,NJ,I PEDIATRIC,"Regional resource facility and has the capability to provide total care for all aspects of pediatric trauma, from prevention through rehabilitation.",http://www.nj.gov/health/ems/trama_centers.shtml,2016-06-02T00:00:00.000Z
142,NJ,II PEDIATRIC,"provide definitive pediatric trauma care, regardless of the severity of injury. Level II trauma centers have most of the clinical capabilities of a Level I. Level II trauma centers are required to participate in trauma research conducted by the Level Is and to sponsor public and provider educational programs in cooperation with the Level I centers. ",http://www.nj.gov/health/ems/trama_centers.shtml,2016-06-02T00:00:00.000Z
143,NM,I,"Has 24/7 trauma and specialty care available for all services, participates in clinical research on trauma care and has residents training in trauma.",https://nmhealth.org/publication/view/general/1988/,2016-06-02T00:00:00.000Z
144,NM,II,Has 24/7 trauma and specialty care available for all services,https://nmhealth.org/publication/view/general/1988/,2016-06-02T00:00:00.000Z
145,NM,III,Has 24/7 trauma and some specialty care services available.,https://nmhealth.org/publication/view/general/1988/,2016-06-02T00:00:00.000Z
146,NM,IV,Has an Emergency Department with trauma team activation and can rapidly facilitate transport to a higher level of care if necessary,https://nmhealth.org/publication/view/general/1988/,2016-06-02T00:00:00.000Z
147,NV,I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,2016-08-25T00:00:00.000Z
148,NV,II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,2016-08-25T00:00:00.000Z
149,NY,I,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.health.ny.gov/regulations/hcra/provider.htm,2016-08-29T00:00:00.000Z
150,NY,II,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.health.ny.gov/regulations/hcra/provider.htm,2016-08-29T00:00:00.000Z
151,NY,III,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.health.ny.gov/regulations/hcra/provider.htm,2016-08-29T00:00:00.000Z
152,NY,I PEDIATRIC,"No definitions or definition source provided by state, however the SOURCE shown in this table was used to discover trauma levels for the hospitals feature class, minus the definition.",http://www.health.ny.gov/regulations/hcra/provider.htm,2016-08-29T00:00:00.000Z
